Tool,Category,Right,Wrong,Total,Accuracy
newzik,Notes,1294.0,134.0,1428.0,0.9061624649859944
newzik,Rests,173.0,19.0,192.0,0.9010416666666666
newzik,TimeSignatures,14.0,22.0,36.0,0.3888888888888889
newzik,KeySignatures,42.0,0.0,42.0,1.0
newzik,Clefs,54.0,2.0,56.0,0.9642857142857143
newzik,Spanners,2598.0,2388.0,4986.0,0.5210589651022864
newzik,Dynamics,0.0,0.0,0.0,0.0
photoscore,Notes,1368.0,258.0,1626.0,0.8413284132841329
photoscore,Rests,131.0,31.0,162.0,0.808641975308642
photoscore,TimeSignatures,16.0,0.0,16.0,1.0
photoscore,KeySignatures,0.0,0.0,0.0,0.0
photoscore,Clefs,66.0,6.0,72.0,0.9166666666666666
photoscore,Spanners,0.0,0.0,0.0,0.0
photoscore,Dynamics,0.0,0.0,0.0,0.0
playscore2,Notes,1032.0,193.0,1225.0,0.8424489795918367
playscore2,Rests,188.0,25.0,213.0,0.8826291079812206
playscore2,TimeSignatures,11.0,33.0,44.0,0.25
playscore2,KeySignatures,60.0,0.0,60.0,1.0
playscore2,Clefs,86.0,2.0,88.0,0.9772727272727273
playscore2,Spanners,17245.0,16040.0,33285.0,0.5181012468078714
playscore2,Dynamics,0.0,0.0,0.0,0.0
soundslice,Notes,1701.0,125.0,1826.0,0.9315443592552026
soundslice,Rests,195.0,7.0,202.0,0.9653465346534653
soundslice,TimeSignatures,25.0,13.0,38.0,0.6578947368421053
soundslice,KeySignatures,44.0,1.0,45.0,0.9777777777777777
soundslice,Clefs,76.0,0.0,76.0,1.0
soundslice,Spanners,3398.0,3451.0,6849.0,0.49613082201781283
soundslice,Dynamics,0.0,0.0,0.0,0.0
