Excerpt,newzik_Notes_wrong,newzik_Notes_right,newzik_Rests_wrong,newzik_Rests_right,newzik_TimeSignatures_wrong,newzik_TimeSignatures_right,newzik_KeySignatures_wrong,newzik_KeySignatures_right,newzik_Clefs_wrong,newzik_Clefs_right,newzik_Spanners_wrong,newzik_Spanners_right,newzik_Dynamics_wrong,newzik_Dynamics_right,newzik,photoscore_Notes_wrong,photoscore_Notes_right,photoscore_Rests_wrong,photoscore_Rests_right,photoscore_TimeSignatures_wrong,photoscore_TimeSignatures_right,photoscore_KeySignatures_wrong,photoscore_KeySignatures_right,photoscore_Clefs_wrong,photoscore_Clefs_right,photoscore_Spanners_wrong,photoscore_Spanners_right,photoscore_Dynamics_wrong,photoscore_Dynamics_right,photoscore,playscore2_Notes_wrong,playscore2_Notes_right,playscore2_Rests_wrong,playscore2_Rests_right,playscore2_TimeSignatures_wrong,playscore2_TimeSignatures_right,playscore2_KeySignatures_wrong,playscore2_KeySignatures_right,playscore2_Clefs_wrong,playscore2_Clefs_right,playscore2_Spanners_wrong,playscore2_Spanners_right,playscore2_Dynamics_wrong,playscore2_Dynamics_right,playscore2,soundslice_Notes_wrong,soundslice_Notes_right,soundslice_Rests_wrong,soundslice_Rests_right,soundslice_TimeSignatures_wrong,soundslice_TimeSignatures_right,soundslice_KeySignatures_wrong,soundslice_KeySignatures_right,soundslice_Clefs_wrong,soundslice_Clefs_right,soundslice_Spanners_wrong,soundslice_Spanners_right,soundslice_Dynamics_wrong,soundslice_Dynamics_right,soundslice
excerpt01,20.0,783.0,2.0,25.0,0.0,4.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,22.0,59,700,1,17,0,4,0,0,0,8,0,0,0,0,60,0,0,0,0,0,4,0,6,0,8,0,0,0,0,0,16.0,908.0,0.0,18.0,0.0,4.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,16.0
excerpt02,,,,,,,,,,,,,,,,4,18,1,2,0,0,0,0,0,4,0,0,0,0,5,21,25,0,0,2,0,0,3,0,4,107,124,0,0,130,26.0,51.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,4.0,25.0,41.0,0.0,0.0,53.0
excerpt03,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,11,0,0,2,0,0,3,0,4,96,48,0,0,99,2.0,10.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,4.0,16.0,8.0,0.0,0.0,19.0
excerpt04,6.0,38.0,1.0,2.0,2.0,6.0,0.0,6.0,0.0,8.0,0.0,18.0,0.0,0.0,9.0,2,31,1,8,0,8,0,0,0,8,0,0,0,0,3,8,36,0,9,2,2,0,6,0,8,18,9,0,0,28,4.0,62.0,0.0,9.0,0.0,8.0,0.0,6.0,0.0,8.0,0.0,27.0,0.0,0.0,4.0
excerpt05,7.0,191.0,1.0,20.0,4.0,4.0,0.0,6.0,0.0,8.0,27.0,216.0,0.0,0.0,39.0,7,180,1,8,0,4,0,0,0,8,0,0,0,0,8,21,100,1,2,8,0,0,6,0,8,99,198,0,0,129,1.0,164.0,2.0,7.0,2.0,6.0,1.0,5.0,0.0,8.0,42.0,84.0,0.0,0.0,48.0
excerpt06,79.0,214.0,2.0,7.0,4.0,0.0,0.0,6.0,0.0,8.0,120.0,240.0,0.0,0.0,205.0,50,110,0,0,0,0,0,0,0,8,0,0,0,0,50,38,330,0,0,0,4,0,6,0,8,32,184,0,0,70,14.0,76.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,18.0
excerpt07,12.0,45.0,11.0,112.0,8.0,0.0,0.0,12.0,0.0,16.0,2072.0,1960.0,0.0,0.0,2103.0,31,59,17,73,0,0,0,0,2,10,0,0,0,0,50,42,103,9,87,8,0,0,12,0,16,9800,9604,0,0,9859,,,,,,,,,,,,,,,
excerpt08,,,,,,,,,,,,,,,,105,270,7,17,0,0,0,0,2,14,0,0,0,0,114,43,378,6,53,8,0,0,12,0,24,5616,6804,0,0,5673,61.0,360.0,0.0,74.0,4.0,4.0,0.0,12.0,0.0,32.0,3300.0,3180.0,0.0,0.0,3365.0
excerpt09,8.0,14.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0,2.0,145.0,125.0,0.0,0.0,158.0,0,0,2,4,0,0,0,0,2,2,0,0,0,0,4,18,27,2,4,2,0,0,3,2,2,170,208,0,0,194,,,,,,,,,,,,,,,
excerpt10,2.0,9.0,1.0,5.0,2.0,0.0,0.0,3.0,0.0,4.0,24.0,39.0,0.0,0.0,29.0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,22,7,33,1,1,0,3,0,4,102,66,0,0,111,1.0,70.0,4.0,85.0,1.0,1.0,0.0,3.0,0.0,4.0,68.0,58.0,0.0,0.0,74.0
